"interview_id","date","location","shift_block","day_type","month","time_start","time_end","hours_fished","party_size","anglers","target_species","catch_total","catch_kept","catch_released","trip_complete","interview_complete","refused"
"2024-06-01_South Ramp_morning_7",2024-06-01,"South Ramp","morning","weekend","Jun",2024-06-01 08:42:33.155323,2024-06-01 13:52:26.612954,5.16484934200626,1,1,"Walleye",3,2,1,TRUE,TRUE,FALSE
"2024-06-01_South Ramp_morning_8",2024-06-01,"South Ramp","morning","weekend","Jun",2024-06-01 08:52:47.099076,2024-06-01 14:04:24.649885,5.19376411371993,2,2,"Walleye",6,3,3,TRUE,TRUE,FALSE
"2024-06-02_East Pier_afternoon_1",2024-06-02,"East Pier","afternoon","weekend","Jun",2024-06-02 14:39:45.012149,2024-06-02 16:49:50.20059,2.16810790029827,3,3,"Panfish",3,3,0,FALSE,TRUE,FALSE
"2024-06-02_East Pier_afternoon_2",2024-06-02,"East Pier","afternoon","weekend","Jun",2024-06-02 14:40:55.958631,2024-06-02 19:35:20.010983,4.90668120875208,2,2,"Panfish",10,10,0,TRUE,TRUE,FALSE
"2024-06-02_East Pier_morning_1",2024-06-02,"East Pier","morning","weekend","Jun",2024-06-02 07:34:57.975568,2024-06-02 11:16:26.094628,3.69114418338069,1,1,"Walleye",4,2,2,TRUE,TRUE,FALSE
"2024-06-02_East Pier_morning_2",2024-06-02,"East Pier","morning","weekend","Jun",2024-06-02 06:17:03.866605,2024-06-02 08:40:58.007749,2.39837253985548,3,3,"Catfish",1,1,0,TRUE,TRUE,FALSE
"2024-06-02_East Pier_morning_3",2024-06-02,"East Pier","morning","weekend","Jun",2024-06-02 08:18:31.04229,2024-06-02 11:08:44.652048,2.83711382141035,2,2,"Catfish",0,0,0,FALSE,TRUE,FALSE
"2024-06-02_North Ramp_afternoon_1",2024-06-02,"North Ramp","afternoon","weekend","Jun",2024-06-02 14:58:50.811587,2024-06-02 17:11:26.484632,2.20990917912254,2,2,"Bass",4,0,4,FALSE,TRUE,FALSE
"2024-06-02_North Ramp_afternoon_2",2024-06-02,"North Ramp","afternoon","weekend","Jun",2024-06-02 18:16:47.180216,2024-06-02 21:13:49.641397,2.9506836615555,3,3,"Catfish",3,2,1,TRUE,TRUE,FALSE
"2024-06-02_North Ramp_afternoon_3",2024-06-02,"North Ramp","afternoon","weekend","Jun",2024-06-02 18:19:31.089707,2024-06-02 20:18:01.709229,1.97517208942558,3,3,"Bass",1,1,0,FALSE,TRUE,FALSE
"2024-06-02_North Ramp_afternoon_4",2024-06-02,"North Ramp","afternoon","weekend","Jun",2024-06-02 15:50:27.117363,2024-06-02 17:27:30.77125,1.61768163530003,2,2,"Bass",2,1,1,TRUE,TRUE,FALSE
"2024-06-02_North Ramp_afternoon_5",2024-06-02,"North Ramp","afternoon","weekend","Jun",2024-06-02 19:57:26.873296,2024-06-03 02:07:55.8027,6.17470261228831,1,1,"Walleye",5,5,0,TRUE,TRUE,FALSE
"2024-06-02_North Ramp_afternoon_6",2024-06-02,"North Ramp","afternoon","weekend","Jun",2024-06-02 14:23:49.537423,2024-06-02 16:43:13.957618,2.32345005400738,4,4,"Panfish",5,5,0,TRUE,TRUE,FALSE
"2024-06-02_North Ramp_afternoon_7",2024-06-02,"North Ramp","afternoon","weekend","Jun",2024-06-02 18:39:53.907576,2024-06-02 23:42:06.131053,5.03672874358353,2,2,"Bass",8,3,5,TRUE,TRUE,FALSE
"2024-06-02_North Ramp_afternoon_8",2024-06-02,"North Ramp","afternoon","weekend","Jun",2024-06-02 15:55:26.22169,2024-06-02 18:02:19.546898,2.11481255774121,3,3,"Walleye",2,1,1,FALSE,TRUE,FALSE
"2024-06-02_North Ramp_afternoon_9",2024-06-02,"North Ramp","afternoon","weekend","Jun",2024-06-02 17:21:09.294584,2024-06-02 19:13:57.723488,1.88011914001061,2,2,"Bass",7,1,6,TRUE,TRUE,FALSE
"2024-06-02_North Ramp_afternoon_10",2024-06-02,"North Ramp","afternoon","weekend","Jun",2024-06-02 18:26:11.044538,2024-06-02 21:46:40.264093,3.34144987630257,2,2,"Walleye",4,2,2,TRUE,TRUE,FALSE
"2024-06-02_North Ramp_morning_1",2024-06-02,"North Ramp","morning","weekend","Jun",2024-06-02 06:03:21.379455,2024-06-02 07:58:31.251569,1.91940892051343,2,2,"Bass",7,1,6,TRUE,TRUE,FALSE
"2024-06-02_North Ramp_morning_2",2024-06-02,"North Ramp","morning","weekend","Jun",2024-06-02 08:34:19.604902,2024-06-02 11:31:25.512106,2.95164089004251,4,4,"Bass",12,2,10,TRUE,TRUE,FALSE
"2024-06-02_North Ramp_morning_3",2024-06-02,"North Ramp","morning","weekend","Jun",2024-06-02 09:25:40.171117,2024-06-02 12:51:03.106616,3.42303763850342,3,3,"Bass",6,1,5,TRUE,TRUE,FALSE
"2024-06-02_North Ramp_morning_4",2024-06-02,"North Ramp","morning","weekend","Jun",2024-06-02 07:16:18.258578,2024-06-02 09:56:23.749398,2.66819189433664,2,2,"Walleye",6,3,3,TRUE,TRUE,FALSE
"2024-06-02_North Ramp_morning_5",2024-06-02,"North Ramp","morning","weekend","Jun",2024-06-02 06:58:47.522076,2024-06-02 08:54:44.289772,1.93243547105732,2,2,"Bass",3,2,1,TRUE,TRUE,FALSE
"2024-06-02_North Ramp_morning_6",2024-06-02,"North Ramp","morning","weekend","Jun",2024-06-02 07:09:14.437035,2024-06-02 09:01:03.915405,1.86374399167081,2,2,"Walleye",3,0,3,TRUE,TRUE,FALSE
"2024-06-02_North Ramp_morning_7",2024-06-02,"North Ramp","morning","weekend","Jun",2024-06-02 06:53:44.643701,2024-06-02 09:19:41.112418,2.43235242139127,4,4,"Panfish",9,8,1,TRUE,TRUE,FALSE
"2024-06-02_South Ramp_afternoon_1",2024-06-02,"South Ramp","afternoon","weekend","Jun",2024-06-02 19:54:44.282169,2024-06-03 02:58:26.261041,7.06166079770465,2,2,"Walleye",2,1,1,TRUE,TRUE,FALSE
"2024-06-02_South Ramp_afternoon_2",2024-06-02,"South Ramp","afternoon","weekend","Jun",2024-06-02 15:43:38.298277,2024-06-02 19:12:47.311174,3.48583691575616,1,1,"Walleye",2,2,0,TRUE,TRUE,FALSE
"2024-06-02_South Ramp_afternoon_3",2024-06-02,"South Ramp","afternoon","weekend","Jun",2024-06-02 14:44:56.787123,2024-06-02 18:28:39.991047,3.72866775686545,2,2,"Bass",7,0,7,TRUE,TRUE,FALSE
"2024-06-02_South Ramp_afternoon_4",2024-06-02,"South Ramp","afternoon","weekend","Jun",2024-06-02 18:59:05.217556,2024-06-03 04:51:14.080212,9.86912851568687,1,1,"Bass",17,4,13,TRUE,TRUE,FALSE
"2024-06-02_South Ramp_afternoon_5",2024-06-02,"South Ramp","afternoon","weekend","Jun",2024-06-02 18:51:29.582102,2024-06-02 23:28:07.104487,4.61042288468799,2,2,"Bass",7,1,6,TRUE,TRUE,FALSE
"2024-06-02_South Ramp_afternoon_6",2024-06-02,"South Ramp","afternoon","weekend","Jun",2024-06-02 19:12:30.461086,2024-06-02 22:39:28.326258,3.44940699219985,4,4,"Panfish",8,6,2,TRUE,TRUE,FALSE
"2024-06-02_South Ramp_afternoon_7",2024-06-02,"South Ramp","afternoon","weekend","Jun",2024-06-02 18:57:41.802936,2024-06-02 22:19:42.908697,3.3669738226763,2,2,"Catfish",0,0,0,TRUE,TRUE,FALSE
"2024-06-02_South Ramp_morning_1",2024-06-02,"South Ramp","morning","weekend","Jun",2024-06-02 09:57:09.561945,2024-06-02 15:33:02.805904,5.5981233218857,4,4,"Bass",9,0,9,TRUE,TRUE,FALSE
"2024-06-02_South Ramp_morning_2",2024-06-02,"South Ramp","morning","weekend","Jun",2024-06-02 08:09:33.391807,2024-06-02 14:34:26.001522,6.41461380963362,1,1,"Walleye",6,4,2,FALSE,TRUE,FALSE
"2024-06-02_South Ramp_morning_3",2024-06-02,"South Ramp","morning","weekend","Jun",2024-06-02 08:35:31.197674,2024-06-02 13:07:56.418351,4.5403390770533,1,1,"Walleye",5,3,2,FALSE,TRUE,FALSE
"2024-06-02_South Ramp_morning_4",2024-06-02,"South Ramp","morning","weekend","Jun",2024-06-02 06:26:02.186072,2024-06-02 10:12:13.507323,3.76981145856812,2,2,"Walleye",4,3,1,TRUE,TRUE,FALSE
"2024-06-02_South Ramp_morning_5",2024-06-02,"South Ramp","morning","weekend","Jun",2024-06-02 07:32:32.713411,2024-06-02 12:28:53.973593,4.93923893945873,3,3,"Walleye",9,7,2,TRUE,TRUE,FALSE
"2024-06-02_South Ramp_morning_6",2024-06-02,"South Ramp","morning","weekend","Jun",2024-06-02 06:37:48.574408,2024-06-02 08:45:17.088116,2.12458714101836,3,3,"Panfish",4,2,2,TRUE,TRUE,FALSE
"2024-06-02_South Ramp_morning_7",2024-06-02,"South Ramp","morning","weekend","Jun",2024-06-02 09:59:45.382789,2024-06-02 10:59:45.382789,1,2,2,"Bass",2,0,2,TRUE,TRUE,FALSE
"2024-06-03_East Pier_morning_1",2024-06-03,"East Pier","morning","weekday","Jun",2024-06-03 07:46:34.248282,2024-06-03 09:46:24.671198,1.99733969898291,3,3,"Panfish",2,2,0,TRUE,TRUE,FALSE
"2024-06-03_East Pier_morning_2",2024-06-03,"East Pier","morning","weekday","Jun",2024-06-03 08:21:38.749795,2024-06-03 15:02:20.103268,6.67815374256587,3,3,"Panfish",10,9,1,TRUE,TRUE,FALSE
"2024-06-03_East Pier_morning_3",2024-06-03,"East Pier","morning","weekday","Jun",2024-06-03 08:44:58.961677,2024-06-03 14:02:57.324876,5.29954533307986,2,2,"Panfish",9,6,3,TRUE,TRUE,FALSE
"2024-06-03_East Pier_morning_4",2024-06-03,"East Pier","morning","weekday","Jun",2024-06-03 08:22:11.312584,2024-06-03 14:57:45.213093,6.59275014144818,2,2,"Catfish",4,1,3,TRUE,TRUE,FALSE
"2024-06-03_East Pier_morning_5",2024-06-03,"East Pier","morning","weekday","Jun",2024-06-03 07:11:11.544289,2024-06-03 13:51:17.303232,6.66826637317866,1,1,"Panfish",7,5,2,TRUE,TRUE,FALSE
"2024-06-03_North Ramp_morning_1",2024-06-03,"North Ramp","morning","weekday","Jun",2024-06-03 06:22:30.612831,2024-06-03 15:04:31.235806,8.70017304845248,1,1,"Panfish",26,22,4,TRUE,TRUE,FALSE
"2024-06-03_North Ramp_morning_2",2024-06-03,"North Ramp","morning","weekday","Jun",2024-06-03 08:12:34.000252,2024-06-03 12:46:34.474847,4.56679849856735,4,4,"Catfish",7,4,3,TRUE,TRUE,FALSE
"2024-06-03_North Ramp_morning_3",2024-06-03,"North Ramp","morning","weekday","Jun",2024-06-03 07:54:45.926766,2024-06-03 10:35:35.463696,2.68042692498058,2,2,"Walleye",5,3,2,FALSE,TRUE,FALSE
"2024-06-03_North Ramp_morning_4",2024-06-03,"North Ramp","morning","weekday","Jun",2024-06-03 08:04:29.829804,2024-06-03 10:16:39.561583,2.20270327187309,3,3,"Walleye",2,2,0,TRUE,TRUE,FALSE
"2024-06-03_North Ramp_morning_5",2024-06-03,"North Ramp","morning","weekday","Jun",2024-06-03 09:58:27.374294,2024-06-03 13:41:51.049021,3.7232429797859,2,2,"Catfish",4,1,3,FALSE,TRUE,FALSE
"2024-06-04_East Pier_morning_1",2024-06-04,"East Pier","morning","weekday","Jun",2024-06-04 08:15:42.575897,2024-06-04 10:47:19.791002,2.52700419564664,2,2,"Panfish",4,3,1,TRUE,TRUE,FALSE
"2024-06-04_East Pier_morning_2",2024-06-04,"East Pier","morning","weekday","Jun",2024-06-04 07:07:35.940345,2024-06-04 12:29:26.699099,5.36409965371486,3,3,"Walleye",5,1,4,TRUE,TRUE,FALSE
"2024-06-04_East Pier_morning_3",2024-06-04,"East Pier","morning","weekday","Jun",2024-06-04 07:29:09.033653,2024-06-04 12:27:13.092603,4.96779415270889,4,4,"Bass",3,0,3,FALSE,TRUE,FALSE
"2024-06-04_North Ramp_morning_1",2024-06-04,"North Ramp","morning","weekday","Jun",2024-06-04 06:05:53.698457,2024-06-04 08:00:59.346408,1.91823554204069,2,2,"Walleye",1,0,1,TRUE,TRUE,FALSE
"2024-06-04_North Ramp_morning_2",2024-06-04,"North Ramp","morning","weekday","Jun",2024-06-04 09:59:12.084894,2024-06-04 16:06:20.30491,6.11895000443466,2,2,"Bass",9,4,5,TRUE,TRUE,FALSE
"2024-06-04_North Ramp_morning_3",2024-06-04,"North Ramp","morning","weekday","Jun",2024-06-04 09:16:32.818812,2024-06-04 12:36:33.308991,3.33346949409205,3,3,"Bass",6,1,5,FALSE,TRUE,FALSE
"2024-06-04_South Ramp_morning_1",2024-06-04,"South Ramp","morning","weekday","Jun",2024-06-04 06:37:19.95158,2024-06-04 11:54:34.144167,5.28727571850248,1,1,"Walleye",3,2,1,FALSE,TRUE,FALSE
"2024-06-04_South Ramp_morning_2",2024-06-04,"South Ramp","morning","weekday","Jun",2024-06-04 06:58:23.359365,2024-06-04 09:39:50.059787,2.69075011696326,1,1,"Walleye",0,0,0,TRUE,TRUE,FALSE
"2024-06-04_South Ramp_morning_3",2024-06-04,"South Ramp","morning","weekday","Jun",2024-06-04 06:58:23.570274,2024-06-04 08:51:57.841265,1.89285305310759,2,2,"Bass",4,0,4,TRUE,TRUE,FALSE
"2024-06-04_South Ramp_morning_4",2024-06-04,"South Ramp","morning","weekday","Jun",2024-06-04 06:25:52.347286,2024-06-04 07:56:15.535436,1.50644115277771,1,1,"Walleye",2,0,2,TRUE,TRUE,FALSE
"2024-06-04_South Ramp_morning_5",2024-06-04,"South Ramp","morning","weekday","Jun",2024-06-04 08:51:15.899839,2024-06-04 10:00:45.996612,1.15836021467119,2,2,"Panfish",4,3,1,TRUE,TRUE,FALSE
"2024-06-05_East Pier_afternoon_1",2024-06-05,"East Pier","afternoon","weekday","Jun",2024-06-05 14:29:02.507416,2024-06-05 20:55:11.750678,6.43590090598332,1,1,"Panfish",10,7,3,TRUE,TRUE,FALSE
"2024-06-05_East Pier_afternoon_2",2024-06-05,"East Pier","afternoon","weekday","Jun",2024-06-05 15:32:21.977499,2024-06-05 21:28:14.774674,5.93133254861467,3,3,"Panfish",9,8,1,FALSE,TRUE,FALSE
"2024-06-05_East Pier_morning_1",2024-06-05,"East Pier","morning","weekday","Jun",2024-06-05 09:08:32.338812,2024-06-05 13:39:13.097424,4.51132183658693,2,2,"Walleye",3,2,1,FALSE,TRUE,FALSE
"2024-06-05_East Pier_morning_2",2024-06-05,"East Pier","morning","weekday","Jun",2024-06-05 08:54:52.655774,2024-06-05 13:13:30.646132,4.31055287730844,4,4,"Bass",1,0,1,FALSE,TRUE,FALSE
"2024-06-05_South Ramp_afternoon_1",2024-06-05,"South Ramp","afternoon","weekday","Jun",2024-06-05 14:39:03.939157,2024-06-05 17:38:39.136033,2.99311024318379,2,2,"Panfish",10,7,3,TRUE,TRUE,FALSE
"2024-06-05_South Ramp_afternoon_2",2024-06-05,"South Ramp","afternoon","weekday","Jun",2024-06-05 15:59:58.362092,2024-06-05 20:53:05.925769,4.8854343546485,4,4,"Walleye",8,3,5,TRUE,TRUE,FALSE
"2024-06-05_South Ramp_afternoon_3",2024-06-05,"South Ramp","afternoon","weekday","Jun",2024-06-05 19:47:20.183713,2024-06-06 00:15:12.110585,4.46442413112188,2,2,"Panfish",3,2,1,TRUE,TRUE,FALSE
"2024-06-05_South Ramp_afternoon_4",2024-06-05,"South Ramp","afternoon","weekday","Jun",2024-06-05 16:31:40.57254,2024-06-05 19:40:04.468303,3.13997104536485,2,2,"Panfish",9,7,2,TRUE,TRUE,FALSE
"2024-06-05_South Ramp_afternoon_5",2024-06-05,"South Ramp","afternoon","weekday","Jun",2024-06-05 16:49:59.541167,2024-06-06 01:04:41.009016,8.24485218030826,1,1,"Catfish",5,4,1,TRUE,TRUE,FALSE
"2024-06-05_South Ramp_afternoon_6",2024-06-05,"South Ramp","afternoon","weekday","Jun",2024-06-05 16:53:41.086857,2024-06-05 22:28:12.859748,5.57549246962181,1,1,"Panfish",16,13,3,FALSE,TRUE,FALSE
"2024-06-05_South Ramp_afternoon_7",2024-06-05,"South Ramp","afternoon","weekday","Jun",2024-06-05 15:11:12.506453,2024-06-05 18:03:48.120683,2.87655950842627,3,3,"Walleye",1,0,1,TRUE,TRUE,FALSE
"2024-06-05_South Ramp_afternoon_8",2024-06-05,"South Ramp","afternoon","weekday","Jun",2024-06-05 18:19:00.142988,2024-06-05 20:37:43.429758,2.31202410275416,2,2,"Panfish",8,5,3,TRUE,TRUE,FALSE
"2024-06-06_North Ramp_morning_1",2024-06-06,"North Ramp","morning","weekday","Jun",2024-06-06 06:50:58.995478,2024-06-06 10:17:38.228494,3.44423139346178,2,2,"Walleye",4,1,3,FALSE,TRUE,FALSE
"2024-06-06_North Ramp_morning_2",2024-06-06,"North Ramp","morning","weekday","Jun",2024-06-06 06:17:44.568383,2024-06-06 09:41:47.328949,3.40076682396251,3,3,"Panfish",8,6,2,TRUE,TRUE,FALSE
"2024-06-06_North Ramp_morning_3",2024-06-06,"North Ramp","morning","weekday","Jun",2024-06-06 08:53:35.772694,2024-06-06 11:59:10.653589,3.09302247108679,2,2,"Bass",11,4,7,FALSE,TRUE,FALSE
"2024-06-06_North Ramp_morning_4",2024-06-06,"North Ramp","morning","weekday","Jun",2024-06-06 09:58:28.015613,2024-06-06 12:43:17.894831,2.74718867172739,2,2,"Bass",2,0,2,TRUE,TRUE,FALSE
"2024-06-06_South Ramp_afternoon_1",2024-06-06,"South Ramp","afternoon","weekday","Jun",2024-06-06 18:01:12.931994,2024-06-06 20:31:06.189559,2.49812710137813,4,4,"Panfish",5,3,2,TRUE,TRUE,FALSE
"2024-06-06_South Ramp_afternoon_2",2024-06-06,"South Ramp","afternoon","weekday","Jun",2024-06-06 17:36:34.02431,2024-06-07 00:51:45.615153,7.25321967863516,2,2,"Bass",9,2,7,TRUE,TRUE,FALSE
"2024-06-06_South Ramp_afternoon_3",2024-06-06,"South Ramp","afternoon","weekday","Jun",2024-06-06 15:47:00.081587,2024-06-06 16:56:06.132239,1.15168073662679,2,2,"Bass",3,1,2,TRUE,TRUE,FALSE
"2024-06-06_South Ramp_afternoon_4",2024-06-06,"South Ramp","afternoon","weekday","Jun",2024-06-06 17:29:38.721533,2024-06-06 20:20:35.152071,2.8490084826667,1,1,"Panfish",11,8,3,TRUE,TRUE,FALSE
"2024-06-07_East Pier_afternoon_1",2024-06-07,"East Pier","afternoon","weekday","Jun",2024-06-07 15:36:38.677751,2024-06-07 17:17:10.482039,1.67550119122409,1,1,"Panfish",1,1,0,TRUE,TRUE,FALSE
"2024-06-07_East Pier_afternoon_2",2024-06-07,"East Pier","afternoon","weekday","Jun",2024-06-07 18:50:50.569947,2024-06-07 20:23:41.635529,1.54751821738299,3,3,"Catfish",0,0,0,TRUE,TRUE,FALSE
"2024-06-07_East Pier_afternoon_3",2024-06-07,"East Pier","afternoon","weekday","Jun",2024-06-07 18:01:19.130059,2024-06-07 20:58:41.177536,2.95612429919444,3,3,"Catfish",0,0,0,TRUE,TRUE,FALSE
"2024-06-07_South Ramp_afternoon_1",2024-06-07,"South Ramp","afternoon","weekday","Jun",2024-06-07 15:54:32.498546,2024-06-07 22:19:55.053087,6.4229318169837,2,2,"Bass",9,1,8,TRUE,TRUE,FALSE
"2024-06-07_South Ramp_afternoon_2",2024-06-07,"South Ramp","afternoon","weekday","Jun",2024-06-07 19:20:11.984342,2024-06-07 20:53:04.419262,1.54789858906621,3,3,"Bass",2,0,2,TRUE,TRUE,FALSE
"2024-06-07_South Ramp_afternoon_3",2024-06-07,"South Ramp","afternoon","weekday","Jun",2024-06-07 17:24:14.926171,2024-06-07 21:16:52.422013,3.8770821783817,2,2,"Walleye",1,0,1,TRUE,TRUE,FALSE
"2024-06-08_East Pier_morning_1",2024-06-08,"East Pier","morning","weekend","Jun",2024-06-08 09:50:31.451931,2024-06-08 13:23:08.193908,3.54353943811644,2,2,"Panfish",12,11,1,TRUE,TRUE,FALSE
"2024-06-08_East Pier_morning_2",2024-06-08,"East Pier","morning","weekend","Jun",2024-06-08 06:30:55.280599,2024-06-08 11:11:37.179343,4.67830520666383,3,3,"Catfish",1,0,1,TRUE,TRUE,FALSE
"2024-06-08_North Ramp_morning_1",2024-06-08,"North Ramp","morning","weekend","Jun",2024-06-08 06:40:07.132904,2024-06-08 11:26:13.685716,4.76848689236697,2,2,"Walleye",5,3,2,FALSE,TRUE,FALSE
"2024-06-08_North Ramp_morning_2",2024-06-08,"North Ramp","morning","weekend","Jun",2024-06-08 09:58:27.071563,2024-06-08 16:23:36.715611,6.41934556880448,2,2,"Bass",10,3,7,TRUE,TRUE,FALSE
"2024-06-08_North Ramp_morning_3",2024-06-08,"North Ramp","morning","weekend","Jun",2024-06-08 07:57:14.948696,2024-06-08 13:38:16.819066,5.68385288051194,1,1,"Walleye",7,5,2,FALSE,TRUE,FALSE
"2024-06-08_North Ramp_morning_4",2024-06-08,"North Ramp","morning","weekend","Jun",2024-06-08 07:28:43.544705,2024-06-08 10:47:31.074498,3.31320272028215,2,2,"Walleye",2,1,1,TRUE,TRUE,FALSE
"2024-06-08_North Ramp_morning_5",2024-06-08,"North Ramp","morning","weekend","Jun",2024-06-08 07:04:31.734035,2024-06-08 17:10:25.132074,10.0981661217755,1,1,"Walleye",7,4,3,TRUE,TRUE,FALSE
"2024-06-08_North Ramp_morning_6",2024-06-08,"North Ramp","morning","weekend","Jun",2024-06-08 06:39:03.240868,2024-06-08 10:05:43.58582,3.44454026451101,2,2,"Bass",2,0,2,TRUE,TRUE,FALSE
